date,GDPGrowth,rfnom,inflation,a,nua,phi,OutputGap,LTMpi
1954-07-01,-0.00578749212284543,0.00796816964917688,0.00372439909098228,0,0.147529407774744,-0.0156934592602426,-0.0145442120306166,0.0338439629742032
1954-08-01,-0.00578749212284543,0.0121261797978406,5.20417042793042e-18,-0.0322149590067892,0.169721221419017,-0.0174314076393912,-0.0145442120306166,0.0328038410354459
1954-09-01,-0.00578749212284543,0.0106431600984798,-0.00372439909098232,-0.0630380173681144,0.188416848820744,-0.0191693560185399,-0.0145442120306166,0.0317151726657225
1954-10-01,-0.00578749212284543,0.00846407841212936,-0.0074349784875181,-0.0972485163586411,0.203892090058958,-0.019160784116392,-0.00148048161725756,0.030347973573872
1954-11-01,-0.00578749212284543,0.00826574441703259,-0.00372439909098238,-0.0600122565779522,0.21656920743528,-0.0174292845401179,-0.00148048161725756,0.0316746783579164
1954-12-01,-0.00578749212284543,0.0127187724077746,-0.0074627212015896,-0.103711587729973,0.227049121053249,-0.0191737299376577,-0.00148048161725756,0.030556893525536
1955-01-01,0.0689174382415383,0.0138042809763971,-0.0074627212015896,-0.103534071300806,0.236167807639435,-0.0162331544768948,0.020596131645997,0.0306749069116417
1955-02-01,0.0689174382415383,0.0128175037106143,-0.0074627212015896,-0.10342812673082,0.243849578429686,-0.0162331544768948,0.020596131645997,0.0305760892261314
1955-03-01,0.0689174382415383,0.0134096869099177,-0.0074627212015896,-0.103813552265376,0.250126986804197,-0.0162331544768948,0.020596131645997,0.0306253881165222
1955-04-01,0.0689174382415383,0.0141987193998129,-0.00373832211060727,-0.0642659018330997,0.255402138487635,-0.0132093024322207,0.0302501596743213,0.0319022083012768
1955-05-01,0.0689174382415383,0.0141987193998129,-0.00746272120158954,-0.106861909538845,0.259870890330743,-0.0149472508113694,0.0302501596743213,0.030615196143174
1955-06-01,0.0689174382415383,0.0162669724638719,-0.00746272120158954,-0.107153867019805,0.263581374696265,-0.0149472508113694,0.0302501596743213,0.0308279961413548
1955-07-01,0.0689174382415383,0.0166604408931072,-0.00372439909098239,-0.0686301128616712,0.266903829852974,-0.0122566821531411,0.0373532582359105,0.0319392945748199
1955-08-01,0.0689174382415383,0.0194103935198234,-0.00372439909098239,-0.0708242712455306,0.26971262411621,-0.0122566821531411,0.0373532582359105,0.0320731642271957
1955-09-01,0.0689174382415383,0.0215657779145606,0.00372439909098222,-0.00270854229834677,0.272354471385329,-0.00878078539484377,0.0373532582359105,0.0337820800251698
1955-10-01,0.0689174382415383,0.0221528046411333,0.00372439909098222,-0.00770666839264871,0.274779198788797,-0.00885362705941847,0.0368063934199162,0.0336724102289315
1955-11-01,0.0689174382415383,0.0232281261192072,0.00372439909098222,-0.0122223761886475,0.276863228003257,-0.00885362705941847,0.0368063934199162,0.0335850322053262
1955-12-01,0.0689174382415383,0.0244974716003874,0.0037383221106071,-0.0160624855141794,0.278709004889125,-0.00884713004102736,0.0368063934199162,0.0335240684177127
1956-01-01,0.0210987302558948,0.0242046886968174,0.0037383221106071,-0.0194544313111824,0.280370508210437,-0.0102426067859756,0.0263297364433611,0.0334508197473053
1956-02-01,0.0210987302558948,0.0246926125903714,0.0037383221106071,-0.0226755895636007,0.281735334446927,-0.0102426067859756,0.0263297364433611,0.0333967892056187
1956-03-01,0.0210987302558948,0.0246926125903714,0.0037383221106071,-0.0255557711712843,0.282922769368428,-0.0102426067859756,0.0263297364433611,0.0333399906090441
1956-04-01,0.0210987302558948,0.0258626595257274,0.00746272120158937,0.000525665908893348,0.283917325274892,-0.00827140487305691,0.0280809066228172,0.0338537143104439
1956-05-01,0.0210987302558948,0.0271286673882527,0.0111733005981251,0.0236648489946428,0.284854633374341,-0.00653990529678272,0.0280809066228172,0.0342529965559381
1956-06-01,0.0210987302558948,0.0267392971896215,0.0185534078957476,0.0690116077858763,0.285746733639763,-0.00309606235661505,0.0280809066228172,0.0350636607960193
1956-07-01,0.0210987302558948,0.0271286673882527,0.0221411258772133,0.0865851869827204,0.286463071221472,-0.00241816964384312,0.0206012898487419,0.0353405391477823
1956-08-01,0.0210987302558948,0.026934001240081,0.0184848146741029,0.0532146806014179,0.287096181379777,-0.00412434558629104,0.0206012898487419,0.0347741078433335
1956-09-01,0.0210987302558948,0.0290732474857072,0.0184167267862311,0.0464734683705359,0.287611214656271,-0.00415611802299176,0.0206012898487419,0.0345568593094728
1956-10-01,0.0210987302558948,0.0291703772997799,0.0220597180647323,0.0632459401774323,0.288211098612898,-0.00120556462217298,0.0299902205082553,0.034808003553517
1956-11-01,0.0210987302558948,0.0283930745012178,0.0220597180647323,0.0569402214523792,0.288722131032574,-0.00120556462217298,0.0299902205082553,0.0347561469999986
1956-12-01,0.0210987302558948,0.0289761082365172,0.0294138852062934,0.0981041626915391,0.289092870268672,0.00222617363987603,0.0299902205082553,0.0353583965154012
1957-01-01,0.0208372627461079,0.0280041964095973,0.0294138852062934,0.0900011715757897,0.289448454878894,0.00207245609872102,0.0288361733657353,0.035320783879186
1957-02-01,0.0208372627461079,0.0295588022415444,0.0330305256764819,0.10623472842041,0.289672173030632,0.0037601201458814,0.0288361733657353,0.0354220056845165
1957-03-01,0.0208372627461079,0.0291703772997799,0.0366341331797805,0.119430537170732,0.289977833264206,0.00544170250761321,0.0288361733657353,0.0356644100087295
1957-04-01,0.0208372627461079,0.0295588022415444,0.0365004022195268,0.109765436291034,0.290206242580885,0.00400194834640377,0.0184956034256074,0.0354744518845523
