Year,Month,MPU1,MPU2
2014,6,19,79
2014,7,42,84
2014,8,35,87
2014,9,46,83
2014,10,41,119
2014,11,32,95
2014,12,37,90
2015,1,52,89
2015,2,36,56
2015,3,34,71
2015,4,36,104
2015,5,31,87
2015,6,33,126
2015,7,52,144
2015,8,75,306
2015,9,105,299
2015,10,64,153
2015,11,35,115
2015,12,60,176
2016,1,55,163
2016,2,66,185
2016,3,50,154
2016,4,37,155
2016,5,40,117
2016,6,170,307
2016,7,116,222
2016,8,65,122
2016,9,39,102
2016,10,55,129
2016,11,111,267
2016,12,87,194
2017,1,86,134
2017,2,99,167
2017,3,51,101
2017,4,36,112
2017,5,42,95
2017,6,47,70
2017,7,38,90
2017,8,23,109
2017,9,35,121
2017,10,48,95
2017,11,21,123
2017,12,27,131
2018,1,32,64
2018,2,43,80
2018,3,27,140
2018,4,31,121
2018,5,30,105
2018,6,29,113
2018,7,63,134
2018,8,42,127
2018,9,20,114
2018,10,35,140
2018,11,43,167
2018,12,151,431
2019,1,144,310
2019,2,68,182
2019,3,56,177
2019,4,35,115
2019,5,53,118
2019,6,146,279
2019,7,101,299
2019,8,277,491
2019,9,128,262
2019,10,92,246
2019,11,65,166
2019,12,92,233
2020,1,86,175
2020,2,98,273
2020,3,304,368
2020,4,204,285
2020,5,182,254
2020,6,165,295
2020,7,117,257
2020,8,91,211
2020,9,124,161
2020,10,108,208
2020,11,147,173
2020,12,81,180
2021,1,71,166
2021,2,46,162
2021,3,62,137
2021,4,30,86
2021,5,49,120
2021,6,64,135
2021,7,77,147
2021,8,53,132
2021,9,80,178
2021,10,65,134
2021,11,54,124
2021,12,153,188
2022,1,156,201
2022,2,110,222
2022,3,190,279
2022,4,131,193
2022,5,150,261
2022,6,139,218
2022,7,162,353
2022,8,120,217
2022,9,149,302
2022,10,204,280
2022,11,196,234
2022,12,163,231
2023,1,304,204
2023,2,131,170
2023,3,213,244
2023,4,162,239
2023,5,263,307
2023,6,117,224
2023,7,130,135
2023,8,135,133
2023,9,86,126
2023,10,186,149
2023,11,132,144
2023,12,195,106
2024,1,110,145
2024,2,126,130
2024,3,80,120
2024,4,148,129
2024,5,77,149
2024,6,39,92
2024,7,77,134
2024,8,116,157
2024,9,116,177
2024,10,82,145
2024,11,215,188
2024,12,155,211
2025,1,222,219
2025,2,229,193
2025,3,444,398
2025,4,464,721
,,,
