date,RP1,RP2,RP3,RP6,RP12
4/22/1996,0.020700393,0.021691114,0.019146135,0.023039424,0.020031588
4/23/1996,0.019449261,0.020707179,0.017650382,0.021606469,0.017622093
4/24/1996,0.019929717,0.021026284,0.018285501,0.02158485,0.017694572
4/25/1996,0.019217396,0.020415808,0.019571433,0.021363679,0.017602351
4/26/1996,0.019409379,0.020192213,0.019470388,0.02135837,0.019200772
4/29/1996,0.021159825,0.020682831,0.019695476,0.021351381,0.019333169
4/30/1996,0.022002966,0.02120322,0.020130504,0.021423742,0.019201017
5/1/1996,0.022645109,0.021407062,0.020509721,0.021745076,0.019231659
5/2/1996,0.027673037,0.025078263,0.02288343,0.02437742,0.023423493
5/3/1996,0.023985465,0.022637107,0.021503947,0.023367358,0.023139147
5/6/1996,0.024387091,0.022924734,0.022448761,0.023986927,0.02343734
5/7/1996,0.025163931,0.023575435,0.023253023,0.024419501,0.023078678
5/8/1996,0.022276057,0.021890554,0.022121599,0.023946368,0.023031658
5/9/1996,0.024146294,0.022678668,0.022637924,0.024045747,0.023245212
5/10/1996,0.021079017,0.020826007,0.021495035,0.021914261,0.020642483
5/13/1996,0.019869541,0.020454159,0.020520587,0.020733291,0.020254974
5/14/1996,0.019922798,0.019781806,0.019950996,0.020423218,0.020137901
5/15/1996,0.02172024,0.020826142,0.020781488,0.020852881,0.020406794
5/16/1996,0.022943431,0.021335027,0.021013788,0.021006506,0.020340346
5/17/1996,0.020674183,0.020597707,0.020615466,0.020721199,0.020327626
5/20/1996,0.023383368,0.021369452,0.015659954,0.021103297,0.020648486
5/21/1996,0.022823957,0.022626547,0.018958881,0.021473412,0.020878443
5/22/1996,0.021829719,0.021199018,0.016103096,0.019298879,0.017946681
5/23/1996,0.022905219,0.02243558,0.020962041,0.020173379,0.018586801
5/24/1996,0.021593571,0.021742669,0.020735507,0.020219054,0.018593461
5/28/1996,0.025312548,0.023659261,0.022591405,0.022798546,0.021283445
5/29/1996,0.02576339,0.025018597,0.023613423,0.023632496,0.021955996
5/30/1996,0.022407287,0.022913205,0.02250817,0.022888457,0.022364859
5/31/1996,0.023449641,0.023146656,0.022610422,0.023069675,0.021929762
6/3/1996,0.025091402,0.023430049,0.023166902,0.023181007,0.022366309
6/4/1996,0.023863596,0.022603233,0.022881002,0.023379576,0.022339027
6/5/1996,0.022825132,0.022159141,0.02235622,0.021403323,0.019641113
6/6/1996,0.025092928,0.023469349,0.023721679,0.023366288,0.022714686
6/7/1996,0.022832811,0.022485362,0.023062368,0.023018525,0.022423537
6/10/1996,0.024808387,0.023143634,0.023941978,0.023615962,0.023033232
6/11/1996,0.02468714,0.023119027,0.023884051,0.024656073,0.022935813
6/12/1996,0.025724994,0.024075622,0.024581041,0.024738823,0.023205777
6/13/1996,0.02642436,0.02435306,0.024827993,0.025190704,0.023286009
6/14/1996,0.026442206,0.024358621,0.02543736,0.025368447,0.023027678
6/17/1996,0.027665194,0.024259872,0.025640016,0.025433414,0.02356618
6/18/1996,0.027392656,0.024595553,0.026139345,0.026388671,0.023607907
6/19/1996,0.027320053,0.024521423,0.026343255,0.026780377,0.023631853
6/20/1996,0.025715748,0.023962914,0.025593746,0.02609495,0.02351718
6/21/1996,0.022121763,0.02252964,0.023938883,0.024670671,0.02341752
6/24/1996,0.022615648,0.023267638,0.023897866,0.02490186,0.023536257
6/25/1996,0.02119093,0.022060847,0.023315545,0.024192107,0.02281586
6/26/1996,0.020693426,0.021063126,0.022422333,0.023565488,0.02247384
6/27/1996,0.018151931,0.01906915,0.019752476,0.021012257,0.021136536
6/28/1996,0.016927067,0.017809289,0.018515962,0.020196579,0.021152331
7/1/1996,0.016857741,0.017418477,0.017882238,0.01938182,0.019449334
7/2/1996,0.018126688,0.018467005,0.019007675,0.020201332,0.021901812
7/3/1996,0.01790141,0.018866542,0.019674385,0.020969098,0.02196342
7/5/1996,0.022407172,0.023024811,0.023637327,0.023120074,0.021546606
7/8/1996,0.023172272,0.023649341,0.023936642,0.02356319,0.022499107
7/9/1996,0.021221419,0.022978478,0.023700509,0.023686605,0.022436778
7/10/1996,0.021373368,0.021817442,0.022325222,0.022998253,0.022384516
7/11/1996,0.027607735,0.02528813,0.024679805,0.024563449,0.024838706
7/12/1996,0.024405194,0.024428217,0.024397556,0.024429592,0.024713695
7/15/1996,0.036753814,0.031518674,0.029539649,0.027291982,0.024887891
7/16/1996,0.036205562,0.033198634,0.031337371,0.028680079,0.025741123
7/17/1996,0.033407594,0.030658078,0.029769174,0.028493848,0.025632956
7/18/1996,0.027494155,0.026313211,0.026112579,0.025678108,0.02533063
7/19/1996,0.027017148,0.026443207,0.026696472,0.026447682,0.024547647
7/22/1996,0.036100206,0.033624083,0.026465934,0.029329239,0.02521627
7/23/1996,0.040655127,0.036609103,0.027756581,0.029689394,0.025612032
7/24/1996,0.038000756,0.036583982,0.028884602,0.031022707,0.025792984
7/25/1996,0.032468576,0.032673771,0.02730423,0.030414875,0.026113194
7/26/1996,0.027025511,0.028824917,0.025571206,0.028235353,0.025916497
7/29/1996,0.036829965,0.033598921,0.028068143,0.030177431,0.025794022
